Date,Store,Type,Total
2024-08-02,starbucks,restaurant,16900.0
2024-08-31,starbucks,restaurant,41615.0
2024-06-01,starbucks,restaurant,13500.0
2024-07-07,starbucks,restaurant,107700.0
2024-10-09,farmatodo,restaurant,15600.0
2023-12-04,sipote burrito,restaurant,79800.0
2023-12-28,sipote burrito,restaurant,80000.0
2024-11-20,sipote burrito,restaurant,82700.0
2024-10-07,street food,restaurant,10000.0
2024-10-03,vending machine,restaurant,2800.0
2024-12-03,randys,restaurant,47900.0
2025-03-07,randys,restaurant,48900.0
2024-06-21,corral gourmet,restaurant,118800.0
2024-02-06,corral gourmet,restaurant,41800.0
2024-01-24,corral gourmet,restaurant,147400.0
2024-01-16,corral gourmet,restaurant,165100.0
2024-01-12,corral gourmet,restaurant,127600.0
2023-11-27,el corral,restaurant,36900.0
2024-09-01,compensar,restaurant,50300.0
2024-07-01,popsy,restaurant,7500.0
2023-12-17,pizza hut,restaurant,46900.0
2024-01-18,papa johns,restaurant,64800.0
2024-08-16,coctel del mar,restaurant,127100.0
2024-01-13,papa johns,restaurant,60600.0
2024-01-15,carbon & xilvestre,restaurant,66900.0
2024-10-06,cinepolis,restaurant,94300.0
2023-11-30,carbon place,restaurant,26800.0
2024-12-02,carbon & xilvestre,restaurant,210870.0
2024-10-14,el carnal,restaurant,48300.0
2024-09-08,cinemark,restaurant,208100.0
2024-10-17,el carnal,restaurant,25400.0
2024-07-06,carulla,restaurant,14400.0
2024-06-22,casa paella,restaurant,209900.0
2024-06-22,corral gourmet,restaurant,23800.0
2024-07-29,corral gourmet,restaurant,142200.0
2025-03-10,corrientaso,restaurant,36000.0
2024-09-07,cosette,restaurant,216200.0
2025-03-06,randys,restaurant,48900.0
2024-10-11,popsy,restaurant,27400.0
2024-08-23,popsy,restaurant,21800.0
2024-10-16,crepes & waffles,restaurant,14900.0
2024-09-30,crepes & waffles,restaurant,15900.0
2024-08-01,crepes & waffles,restaurant,80800.0
2024-07-19,crepes & waffles,restaurant,99700.0
2024-07-04,crepes & waffles,restaurant,14900.0
2024-10-29,crepes & waffles,restaurant,112500.0
2024-07-01,crepes & waffles,restaurant,95699.0
2024-10-09,randys,restaurant,107800.0
2023-11-30,crepes & waffles,restaurant,20700.0
2024-01-27,crepes & waffles,restaurant,14400.0
2024-12-14,crepes & waffles,restaurant,15300.0
2023-12-14,crepes & waffles,restaurant,6800.0
2024-11-12,crepes & waffles,restaurant,111400.0
2024-01-12,crepes & waffles,restaurant,21200.0
